,Entity,Code,Meningitis ,Alzheimer's disease and other dementias ,Parkinson's disease ,Nutritional deficiencies ,Malaria ,Drowning ,Interpersonal violence ,Maternal disorders ,HIV/AIDS ,Drug use disorders ,Tuberculosis ,Cardiovascular diseases ,Lower respiratory infections ,Neonatal disorders ,Alcohol use disorders ,Self,Exposure to forces of nature ,Diarrheal diseases ,Environmental heat and cold exposure ,Neoplasms ,Conflict and terrorism ,Diabetes mellitus ,Chronic kidney disease ,Poisonings ,Protein,Terrorism,Road injuries ,Chronic respiratory diseases ,Cirrhosis and other chronic liver diseases ,Digestive diseases ,"Fire, heat, and hot substances ",Acute hepatitis ,Total
121,Micronesia (country),FSM,89,198,127,128,0,385,270,123,454,30,500,8366,1358,758,48,711,53,501,15,2691,0,2292,1146,30,124,0,702,1790,565,1017,48,18,49074
122,Moldova,MDA,1571,25100,4861,171,0,9498,13193,479,4999,995,10983,746997,32555,9647,12646,22504,69,960,6914,182270,1069,10389,5526,7418,115,13,20292,46607,101480,127944,5067,280,2825224
123,Monaco,MCO,0,723,172,0,0,30,0,0,28,0,38,5363,651,10,0,164,0,0,0,5775,0,108,190,5,0,0,70,558,209,497,0,0,29182
124,Mongolia,MNG,4336,4504,1246,691,0,5066,8807,2286,180,386,14616,231046,42949,30005,8973,16429,282,7025,7290,120092,156,2817,11467,4616,48,0,15241,13996,34731,49936,2727,1771,1287430
125,Montenegro,MNE,64,4422,1230,30,0,385,832,25,59,32,188,101092,1940,1549,243,3568,1,30,167,40554,3,3750,3176,121,30,1,2028,2170,1373,4156,392,0,347222
126,Morocco,MAR,29170,102231,24816,9729,0,17133,10907,38902,17552,7718,168232,2551096,252563,400341,2745,76054,1847,153225,3521,543654,171,112749,182577,8898,8554,80,305148,213543,105855,179607,29598,15900,11148232
127,Mozambique,MOZ,120772,31971,6976,195650,817948,22265,33861,52371,1541266,1804,602652,666919,546527,734771,5048,46724,2592,514639,4100,266464,5574,93783,58349,16546,188945,789,114554,94550,66310,156332,18141,17322,14093030
128,Myanmar,MMR,139348,128601,35045,93900,157143,155752,29794,63745,268570,5264,866485,3522423,1153570,859666,13690,74663,139932,706020,518,1260516,18252,520531,288985,50299,85808,991,291092,1253201,530177,744192,12452,17130,26975510
129,Namibia,NAM,3979,4486,1149,7408,7383,2130,11562,2864,156336,140,33474,94038,42672,30358,649,6700,264,27497,548,32146,216,18854,8490,847,7214,41,15198,23323,8575,18726,2372,309,1139896
130,Nauru,NRU,19,0,0,22,0,56,30,23,6,0,30,772,183,140,0,73,0,24,0,226,0,161,81,0,22,0,109,128,60,84,0,0,4498
